symbol,ret_1d
BOKF,0.005497815936134964
CDE,0.06507304116865864
ABM,0.011313220940550206
AMGN,-0.011139493850894078
CPB,-0.020704685797311995
MZTI,0.01828813137596419
SFNC,-0.006106153123532132
XOM,0.001924608441730813
CHH,0.015082266910420472
TECH,-0.018203269846620573
VMI,0.01934193463305256
PPC,-0.029936014625228435
U,-0.0032345013477089735
CAKE,-0.02575308256594333
L,-0.00285293576293022
TMDX,-0.01933579335793356
MKC,-0.02185089974293064
CLSK,0.0593311758360302
TMHC,-0.005042266053685407
JKHY,0.014991181657848296
QLYS,-0.011399559344764776
PLXS,-0.0032958117837947887
HAS,-0.0016803400217455522
KBH,-0.015045592705167143
ASB,-0.0003527336860670305
ANF,0.00229933110367897
VSCO,-0.016043638697256557
VRT,-0.0006167509559640294
CDNS,-0.027605652273696046
CAT,0.011383432849714659
BLD,-0.019733633464640743
NE,0.024401265250791004
STLD,-0.011206807097644433
CPT,0.00018421295017057027
SIRI,-0.0014238253440911341
EQR,-0.008491901242333788
VTRS,-0.004361370716510882
HUBG,0.016561130053580175
KMX,-0.023439211391018677
VNT,0.001465201465201238
RRR,0.0076242756938091905
DTM,-0.008615522924782515
LEU,0.01069337591329167
CLH,0.01842533936651569
AGYS,-0.014914149642812569
BFH,0.00779255676474544
TLN,-0.0006048015987799582
JNJ,0.00783705457365591
WWD,-0.002907718206396903
CWT,0.009615384615384803
ETSY,0.09284903518728727
MUR,0.025903614457831292
BEN,-0.024005732712289563
JBTM,-0.0028825513646121292
MSGS,-0.038682116104868824
EXPD,0.007487632036368375
DLTR,0.0077712388712840585
TXRH,-0.023224701664258607
OPLN,0.005498281786941561
WTS,-0.001818677821224024
STAG,0.008900523560209317
GBTG,-0.011029411764705954
GLPI,0.013701562834510739
AFRM,0.002321083172146965
XYZ,-0.013246268656716409
AXSM,0.007794738551477831
SPXC,-0.00235946684328181
UHS,-0.022482893450635366
FBK,-0.001195559350982034
ATR,0.010160880609652923
TXG,-0.01941747572815533
TGNA,-0.0038186157517898778
SLB,-0.0009691800736577605
MRSH,0.00426702599517137
NBTB,0.0040017785682524565
FDX,0.0001566252479898722
MSCI,-0.007574507106831718
UDR,-0.013594771241830172
KEYS,-0.0012091898428053804
ITT,-0.003025275690445972
SPGI,-0.0064619199771089875
HWC,-0.006924816280384549
LNG,0.011040586447344847
AUB,-0.0010010010010009784
SNEX,-0.025062460961898902
